cityld,name
C001,北京市
C002,浙江省杭州市
C003,上海市
C004,江苏省南京市
C005,安徽省合肥市
C006,湖北省武汉市
C007,陕西省西安市
C008,广东省广州市
C009,黑龙江省哈尔滨市
C010,四川省成都市
C011,天津市
C012,福建省厦门市
C013,辽宁省大连市
C014,山东省济南市
C015,重庆市
C016,吉林省长春市
C017,湖南省长沙市
C018,甘肃省兰州市
C019,辽宁省沈阳市
C020,山东省青岛市
C021,陕西省杨凌区
C022,江苏省苏州市
C023,江苏省无锡市
C024,江苏省徐州市
C025,浙江省宁波市
C026,浙江省温州市
C027,浙江省金华市
C028,安徽省芜湖市
C029,福建省福州市
C030,福建省泉州市
C031,江西省南昌市
C032,河南省开封市
C033,河南省郑州市
C034,河南省新乡市
C035,河南省焦作市
C036,湖北省宜昌市
C037,湖南省衡阳市
C038,湖南省湘潭市
C039,广东省深圳市
C040,广西南宁市
C041,广西桂林市
C042,海南省海口市
C043,四川省雅安市
C044,贵州省贵阳市
C045,云南省昆明市
C046,西藏拉萨市
C047,青海省西宁市
C048,宁夏银川市
C049,新疆乌鲁木齐市
C050,新疆石河子市
C051,内蒙古呼和浩特市
C052,吉林省延吉市
C053,河北省保定市
C054,河北省秦皇岛市
C055,河北省石家庄市
C056,山西省太原市
C057,山西省临汾市
C058,江苏省镇江市
C059,江苏省扬州市
C060,江苏省南通市
C061,江苏省常州市
