universityld,name
U001,清华大学
U002,北京大学
U003,浙江大学
U004,上海交通大学
U005,复旦大学
U006,南京大学
U007,中国科学技术大学
U008,武汉大学
U009,华中科技大学
U010,西安交通大学
U011,北京航空航天大学
U012,中山大学
U013,北京理工大学
U014,哈尔滨工业大学
U015,四川大学
U016,东南大学
U017,中国人民大学
U018,同济大学
U019,南开大学
U020,北京师范大学
U021,厦门大学
U022,电子科技大学
U023,天津大学
U024,华南理工大学
U025,西北工业大学
U026,大连理工大学
U027,山东大学
U028,重庆大学
U029,吉林大学
U030,湖南大学
U031,中南大学
U032,兰州大学
U033,东北大学
U034,中国海洋大学
U035,西北农林科技大学
U036,中央民族大学
U037,国防科技大学
U038,华东师范大学
U039,中国农业大学
U040,北京邮电大学
U041,北京科技大学
U042,北京交通大学
U043,北京化工大学
U044,北京工业大学
U045,北京林业大学
U046,中国传媒大学
U047,中央财经大学
U048,对外经济贸易大学
U049,中国政法大学
U050,华北电力大学
U051,中国石油大学(北京)
U052,中国地质大学(北京)
U053,中国矿业大学(北京)
U054,北京中医药大学
U055,北京外国语大学
U056,上海大学
U057,上海财经大学
U058,东华大学
U059,上海外国语大学
U060,华东理工大学
U061,南京航空航天大学
U062,南京理工大学
U063,河海大学
U064,南京师范大学
U065,苏州大学
U066,江南大学
U067,中国药科大学
U068,中国矿业大学
U069,南京农业大学
U070,武汉理工大学
U071,华中师范大学
U072,中南财经政法大学
U073,中国地质大学(武汉)
U074,华中农业大学
U075,西南大学
U076,西南交通大学
U077,西南财经大学
U078,首都师范大学
U079,北京协和医学院
U080,上海理工大学
U081,上海师范大学
U082,南京邮电大学
U083,南京信息工程大学
U084,浙江工业大学
U085,杭州电子科技大学
U086,宁波大学
U087,温州医科大学
U088,浙江师范大学
U089,安徽大学
U090,合肥工业大学
U091,安徽师范大学
U092,安徽医科大学
U093,福建师范大学
U094,福州大学
U095,华侨大学
U096,集美大学
U097,江西财经大学
U098,江西师范大学
U099,南昌大学
U100,山东师范大学
U101,山东科技大学
U102,青岛大学
U103,中国石油大学(华东)
U104,河南大学
U105,郑州大学
U106,河南师范大学
U107,河南理工大学
U108,湖北大学
U109,武汉科技大学
U110,三峡大学
U111,湖南师范大学
U112,长沙理工大学
U113,南华大学
U114,湘潭大学
U115,广东工业大学
U116,深圳大学
U117,南方医科大学
U118,华南师范大学
U119,暨南大学
U120,华南农业大学
U121,广州大学
U122,广东外语外贸大学
U123,广西大学
U124,桂林电子科技大学
U125,广西师范大学
U126,海南大学
U127,海南师范大学
U128,重庆邮电大学
U129,重庆医科大学
U130,西南政法大学
U131,四川农业大学
U132,成都理工大学
U133,西南石油大学
U134,四川师范大学
U135,西华大学
U136,贵州大学
U137,贵州师范大学
U138,云南大学
U139,昆明理工大学
U140,云南师范大学
U141,西藏大学
U142,西北大学
U143,西安电子科技大学
U144,长安大学
U145,陕西师范大学
U146,西北政法大学
U147,西安理工大学
U148,西安建筑科技大学
U149,兰州理工大学
U150,兰州交通大学
U151,青海大学
U152,宁夏大学
U153,新疆大学
U154,石河子大学
U155,内蒙古大学
U156,内蒙古工业大学
U157,东北林业大学
U158,东北农业大学
U159,哈尔滨工程大学
U160,东北师范大学
U161,延边大学
U162,长春理工大学
U163,辽宁大学
U164,大连海事大学
U165,沈阳工业大学
U166,沈阳航空航天大学
U167,中国医科大学
U168,大连医科大学
U169,辽宁师范大学
U170,沈阳师范大学
U171,东北财经大学
U172,河北大学
U173,河北工业大学
U174,燕山大学
U175,河北师范大学
U176,河北医科大学
U177,山西大学
U178,太原理工大学
U179,中北大学
U180,山西医科大学
U181,山西师范大学
U182,山西财经大学
U183,内蒙古师范大学
U184,内蒙古医科大学
U185,内蒙古财经大学
U186,江苏大学
U187,扬州大学
U188,南通大学
U189,徐州医科大学
U190,江苏师范大学
U191,南京工业大学
U192,南京财经大学
U193,南京审计大学
U194,南京医科大学
U195,南京中医药大学
U196,苏州科技大学
U197,常州大学
U198,浙江理工大学
U199,浙江工商大学
U200,中国计量大学
